sh26-010,강동구,강동권역 강일지구 강일리버파크,39,80,"3,000만원대",23만원대,서울특별시 강동구 아리수로93가길 25,강일리버파크1단지::서울특별시 강동구 아리수로93가길 25|강일리버파크2단지::서울특별시 강동구 아리수로97길 68|강일리버파크3단지::서울특별시 강동구 아리수로93길 40|강일리버파크4단지::서울특별시 강동구 아리수로97길 19|강일리버파크5단지::서울특별시 강동구 아리수로97길 20|강일리버파크6단지::서울특별시 강동구 아리수로94길 19|강일리버파크7단지::서울특별시 강동구 아리수로98길 25|강일리버파크8단지::서울특별시 강동구 아리수로94길 72|강일리버파크9단지::서울특별시 강동구 고덕로97길 29|강일리버파크10단지::서울특별시 강동구 고덕로97길 20
sh26-011,강동구,강동권역 강일지구 강일리버파크,49,67,"4,100만원대",27만원대,서울특별시 강동구 아리수로93가길 25,강일리버파크1단지::서울특별시 강동구 아리수로93가길 25|강일리버파크2단지::서울특별시 강동구 아리수로97길 68|강일리버파크3단지::서울특별시 강동구 아리수로93길 40|강일리버파크4단지::서울특별시 강동구 아리수로97길 19|강일리버파크5단지::서울특별시 강동구 아리수로97길 20|강일리버파크6단지::서울특별시 강동구 아리수로94길 19|강일리버파크7단지::서울특별시 강동구 아리수로98길 25|강일리버파크8단지::서울특별시 강동구 아리수로94길 72|강일리버파크9단지::서울특별시 강동구 고덕로97길 29|강일리버파크10단지::서울특별시 강동구 고덕로97길 20
sh26-012,강동구,강동권역 강일지구 강일리버파크,59,86,"4,900~6,400만원대",32~37만원대,서울특별시 강동구 아리수로93가길 25,강일리버파크1단지::서울특별시 강동구 아리수로93가길 25|강일리버파크2단지::서울특별시 강동구 아리수로97길 68|강일리버파크3단지::서울특별시 강동구 아리수로93길 40|강일리버파크4단지::서울특별시 강동구 아리수로97길 19|강일리버파크5단지::서울특별시 강동구 아리수로97길 20|강일리버파크6단지::서울특별시 강동구 아리수로94길 19|강일리버파크7단지::서울특별시 강동구 아리수로98길 25|강일리버파크8단지::서울특별시 강동구 아리수로94길 72|강일리버파크9단지::서울특별시 강동구 고덕로97길 29|강일리버파크10단지::서울특별시 강동구 고덕로97길 20
sh26-013,강동구,강일2지구 고덕리엔파크,49,34,"4,300~4,400만원대",31~32만원대,서울특별시 강동구 상일로 152,고덕리엔파크1단지::서울특별시 강동구 상일로 152|고덕리엔파크2단지::서울특별시 강동구 고덕로 427|고덕리엔파크3단지::서울특별시 강동구 상일로 74
sh26-014,강동구,강일2지구 고덕리엔파크,59,70,"5,100~5,200만원대",35~36만원대,서울특별시 강동구 상일로 152,고덕리엔파크1단지::서울특별시 강동구 상일로 152|고덕리엔파크2단지::서울특별시 강동구 고덕로 427|고덕리엔파크3단지::서울특별시 강동구 상일로 74
sh26-015,강동구,고덕강일2지구 강동리버스트,29,46,"1,800~1,900만원대",18~19만원대,서울특별시 강동구 아리수로93가길 110,강동리버스트4단지::서울특별시 강동구 아리수로93가길 110|강동리버스트6단지::서울특별시 강동구 아리수로93가길 77|강동리버스트7단지::서울특별시 강동구 아리수로93가길 70|강동리버스트8단지::서울특별시 강동구 아리수로93나길 88
sh26-016,강동구,고덕강일2지구 강동리버스트,39,40,"3,500~3,700만원대",25~26만원대,서울특별시 강동구 아리수로93가길 110,강동리버스트4단지::서울특별시 강동구 아리수로93가길 110|강동리버스트6단지::서울특별시 강동구 아리수로93가길 77|강동리버스트7단지::서울특별시 강동구 아리수로93가길 70|강동리버스트8단지::서울특별시 강동구 아리수로93나길 88
sh26-017,강동구,고덕강일2지구 강동리버스트,49,30,"5,400만원대",33만원대,서울특별시 강동구 아리수로93가길 110,강동리버스트4단지::서울특별시 강동구 아리수로93가길 110|강동리버스트6단지::서울특별시 강동구 아리수로93가길 77|강동리버스트7단지::서울특별시 강동구 아리수로93가길 70|강동리버스트8단지::서울특별시 강동구 아리수로93나길 88
sh26-018,강동구,고덕강일3지구 강동리엔파크,29,26,"1,800~2,000만원대",18~20만원대,서울특별시 강동구 고덕로98길 29,강동리엔파크9단지::서울특별시 강동구 고덕로98길 29|강동리엔파크14단지::서울특별시 강동구 고덕로98길 160
sh26-019,강동구,고덕강일3지구 강동리엔파크,39,15,"3,500~3,900만원대",24~27만원대,서울특별시 강동구 고덕로98길 29,강동리엔파크9단지::서울특별시 강동구 고덕로98길 29|강동리엔파크14단지::서울특별시 강동구 고덕로98길 160
