sh26-070,은평구,은평2지구 (박석고개 外),39,14,"2,900~3,000만원대",22만원대,서울특별시 은평구 진관1로 21-9,박석고개1-1::서울특별시 은평구 진관1로 21-9|박석고개1-3::서울특별시 은평구 진관1로 21-10|마고정3-1::서울특별시 은평구 진관1로 55|마고정3-2::서울특별시 은평구 진관2로 90|마고정3-3::서울특별시 은평구 진관2로 60|우물골2-1::서울특별시 은평구 진관2로 67|우물골2-2::서울특별시 은평구 진관2로 77
sh26-071,은평구,은평2지구 (박석고개 外),49,6,"4,400~4,600만원대",27~29만원대,서울특별시 은평구 진관1로 21-9,박석고개1-1::서울특별시 은평구 진관1로 21-9|박석고개1-3::서울특별시 은평구 진관1로 21-10|마고정3-1::서울특별시 은평구 진관1로 55|마고정3-2::서울특별시 은평구 진관2로 90|마고정3-3::서울특별시 은평구 진관2로 60|우물골2-1::서울특별시 은평구 진관2로 67|우물골2-2::서울특별시 은평구 진관2로 77
sh26-072,은평구,은평2지구 (박석고개 外),59,36,"5,700~6,900만원대",37~41만원대,서울특별시 은평구 진관1로 21-9,박석고개1-1::서울특별시 은평구 진관1로 21-9|박석고개1-3::서울특별시 은평구 진관1로 21-10|마고정3-1::서울특별시 은평구 진관1로 55|마고정3-2::서울특별시 은평구 진관2로 90|마고정3-3::서울특별시 은평구 진관2로 60|우물골2-1::서울특별시 은평구 진관2로 67|우물골2-2::서울특별시 은평구 진관2로 77
sh26-073,은평구,은평3지구 구파발단지,39,10,"3,000~3,200만원대",22~24만원대,서울특별시 은평구 진관3로 67,구파발9-1단지::서울특별시 은평구 진관3로 67|구파발10-2단지::서울특별시 은평구 진관3로 15-35|구파발10-3단지::서울특별시 은평구 북한산로 2
sh26-074,은평구,은평3지구 구파발단지,49,2,"4,700만원대",31만원대,서울특별시 은평구 진관3로 67,구파발9-1단지::서울특별시 은평구 진관3로 67|구파발10-2단지::서울특별시 은평구 진관3로 15-35|구파발10-3단지::서울특별시 은평구 북한산로 2
sh26-075,은평구,은평3지구 구파발단지,59,28,"5,600~6,100만원대",36~37만원대,서울특별시 은평구 진관3로 67,구파발9-1단지::서울특별시 은평구 진관3로 67|구파발10-2단지::서울특별시 은평구 진관3로 15-35|구파발10-3단지::서울특별시 은평구 북한산로 2
sh26-076,중랑구,신내데시앙,59,8,"5,000만원대",32만원대,서울특별시 중랑구 용마산로 669,신내데시앙::서울특별시 중랑구 용마산로 669
sh26-077,중랑구,신내3지구 (신내우디안 外),49,8,"4,800~4,900만원대",33~35만원대,서울특별시 중랑구 신내역로1길 85,신내우디안1단지::서울특별시 중랑구 신내역로1길 85|신내데시앙포레::서울특별시 중랑구 신내역로 165
sh26-078,중랑구,신내3지구 (신내우디안 外),59,4,"5,800만원대",38~39만원대,서울특별시 중랑구 신내역로1길 85,신내우디안1단지::서울특별시 중랑구 신내역로1길 85|신내데시앙포레::서울특별시 중랑구 신내역로 165
sh26-079,의정부시,"상계장암 1,2단지 수락리버시티",39,5,"2,700만원대",21만원대,경기도 의정부시 누원로 51,수락리버시티1단지::경기도 의정부시 누원로 51|수락리버시티2단지::경기도 의정부시 누원로 52
